Vp,Vg,Ia
121.967,-2.0,8.8006
122.692,-2.0,8.8855
123.38,-2.0,8.9673
123.778,-2.0,9.0161
125.018,-2.0,9.177
127.338,-2.0,9.522
127.897,-2.0,9.618
128.631,-2.0,9.749
128.642,-2.0,9.751
129.374,-2.0,9.877
130.345,-2.0,10.0279
131.848,-2.0,10.2365
132.842,-2.0,10.3685
133.8,-2.0,10.4951
135.129,-2.0,10.6759
135.147,-2.0,10.6783
135.542,-2.0,10.735
136.911,-2.0,10.9447
136.923,-2.0,10.9467
137.863,-2.0,11.0974
138.451,-2.0,11.1885
139.787,-2.0,11.3807
140.273,-2.0,11.4489
140.813,-2.0,11.5252
140.892,-2.0,11.5365
141.668,-2.0,11.6518
143.152,-2.0,11.9004
144.103,-2.0,12.0605
144.452,-2.0,12.1168
144.631,-2.0,12.145
145.194,-2.0,12.232
145.731,-2.0,12.313
145.886,-2.0,12.3362
148.384,-2.0,12.7052
148.65,-2.0,12.7448
149.08,-2.0,12.8092
149.522,-2.0,12.8762
150.847,-2.0,13.084
151.863,-2.0,13.2508
151.975,-2.0,13.2696
152.831,-2.0,13.415
152.897,-2.0,13.4264
153.43,-2.0,13.5183
154.327,-2.0,13.6733
156.586,-2.0,14.0564
156.908,-2.0,14.1092
157.093,-2.0,14.139
157.162,-2.0,14.1502
157.766,-2.0,14.246
159.833,-2.0,14.5618
160.385,-2.0,14.6449
160.562,-2.0,14.6715
160.577,-2.0,14.6738
161.086,-2.0,14.7507
161.562,-2.0,14.8232
163.104,-2.0,15.0658
163.321,-2.0,15.1014
164.506,-2.0,15.3039
165.326,-2.0,15.4544
165.681,-2.0,15.5216
167.117,-2.0,15.7993
167.338,-2.0,15.8418
167.761,-2.0,15.9219
168.332,-2.0,16.0267
168.475,-2.0,16.0521
170.189,-2.0,16.3362
170.465,-2.0,16.3801
171.269,-2.0,16.5093
171.767,-2.0,16.5922
172.534,-2.0,16.7262
173.185,-2.0,16.844
173.592,-2.0,16.9183
173.813,-2.0,16.9585
174.877,-2.0,17.149
175.184,-2.0,17.202
175.248,-2.0,17.2129
176.004,-2.0,17.3393
176.567,-2.0,17.4308
178.402,-2.0,17.726
179.154,-2.0,17.8507
179.283,-2.0,17.8725
179.441,-2.0,17.8997
179.717,-2.0,17.9477
180.426,-2.0,18.0748
180.822,-2.0,18.1477
181.62,-2.0,18.2962
182.335,-2.0,18.4289
182.975,-2.0,18.5453
183.34,-2.0,18.6109
184.285,-2.0,18.7823
184.515,-2.0,18.8246
184.639,-2.0,18.8474
185.73,-2.0,19.054
186.719,-2.0,19.2473
187.042,-2.0,19.3111
187.634,-2.0,19.4288
188.102,-2.0,19.5221
188.199,-2.0,19.5415
188.719,-2.0,19.6451
188.877,-2.0,19.6767
189.731,-2.0,19.8463
190.512,-2.0,19.9998
190.634,-2.0,20.0235
191.841,-2.0,20.255
192.269,-2.0,20.3354
192.835,-2.0,20.4405
193.347,-2.0,20.5346
193.371,-2.0,20.5388
194.014,-2.0,20.6559
194.631,-2.0,20.7676
194.804,-2.0,20.799
196.209,-2.0,21.0545
196.251,-2.0,21.0621
196.313,-2.0,21.0734
197.941,-2.0,21.3757
197.993,-2.0,21.3856
198.631,-2.0,21.5082
199.225,-2.0,21.6228
199.361,-2.0,21.6487
199.707,-2.0,21.7144
200.864,-2.0,21.9284
201.348,-2.0,22.0159
201.794,-2.0,22.096
202.3,-2.0,22.1867
203.178,-2.0,22.3441
204.114,-2.0,22.5128
204.271,-2.0,22.5415
204.921,-2.0,22.6601
206.193,-2.0,22.8979
206.198,-2.0,22.8988
206.529,-2.0,22.9625
206.779,-2.0,23.0113
207.802,-2.0,23.2168
208.36,-2.0,23.3329
209.246,-2.0,23.5215
209.961,-2.0,23.6749
210.066,-2.0,23.6973
210.295,-2.0,23.7462
211.374,-2.0,23.9703
212.245,-2.0,24.1439
212.288,-2.0,24.1523
212.763,-2.0,24.2432
213.353,-2.0,24.3526
213.421,-2.0,24.3649
214.075,-2.0,24.481
214.126,-2.0,24.49
214.875,-2.0,24.6189
216.407,-2.0,24.8824
216.986,-2.0,24.9856
217.084,-2.0,25.0035
217.176,-2.0,25.0204
217.353,-2.0,25.053
218.013,-2.0,25.1776
219.148,-2.0,25.4017
219.668,-2.0,25.5078
220.155,-2.0,25.6092
220.384,-2.0,25.6575
221.664,-2.0,25.9304
221.705,-2.0,25.9392
221.84,-2.0,25.9676
221.853,-2.0,25.9704
222.33,-2.0,26.0697
222.776,-2.0,26.1607
223.611,-2.0,26.3251
224.281,-2.0,26.4529
224.546,-2.0,26.5028
225.555,-2.0,26.6911
226.099,-2.0,26.7923
227.28,-2.0,27.0129
227.721,-2.0,27.0962
228.433,-2.0,27.2327
228.555,-2.0,27.2563
228.692,-2.0,27.2831
230.443,-2.0,27.6352
231.29,-2.0,27.8099
232.001,-2.0,27.956
232.281,-2.0,28.0128
232.333,-2.0,28.0235
232.626,-2.0,28.0823
232.728,-2.0,28.1025
233.742,-2.0,28.2994
234.795,-2.0,28.4954
235.922,-2.0,28.6986
236.467,-2.0,28.7956
236.852,-2.0,28.8638
236.903,-2.0,28.8727
237.558,-2.0,28.9891
239.176,-2.0,29.2855
239.843,-2.0,29.4162
239.949,-2.0,29.4377
240.729,-2.0,29.6032
241.189,-2.0,29.7053
241.495,-2.0,29.7742
241.754,-2.0,29.8324
241.848,-2.0,29.8536
242.064,-2.0,29.9021
242.066,-2.0,29.9027
243.049,-2.0,30.1181
243.864,-2.0,30.2889
244.053,-2.0,30.3279
245.104,-2.0,30.5411
245.747,-2.0,30.6698
246.246,-2.0,30.7693
247.179,-2.0,30.9557
247.494,-2.0,31.0192
247.559,-2.0,31.0323
247.942,-2.0,31.1094
249.273,-2.0,31.38
