x,Ec=0V,Ec=-1V,Ec=-2V,Ec=-3V,Ec=-4V,Ec=-5V,Ec=-6V,Ec=-7V,Ec=-8V,Ec=-9V,Ec=-10V,Ec=-11V,Ec=-12V,Ec=-13V,Ec=-14V,Ec=-15V,Ec=-16V
97.671,,,,,29.979,,,,,,,,,,,,
97.724,,,,,,15.925,,,,,,,,,,,
97.779,,,,46.013,,,,,,,,,,,,,
98.135,,79.919,,,,,,,,,,,,,,,
99.242,,,64.036,,,,,,,,,,,,,,
99.775,,,,,32.029,,,,,,,,,,,,
99.883,,,,48.007,,,,,,,,,,,,,
100.25,,,,,,,,3.043,,,,,,,,,
100.289,,,,,,,7.219,,,,,,,,,,
100.291,,,,,,17.989,,,,,,,,,,,
100.305,,,,,,,,,1.448,,,,,,,,
100.97,,,,,,,,,,0.071,,,,,,,
101.064,,,66.038,,,,,,,,,,,,,,
101.567,,,,,33.955,,,,,,,,,,,,
101.617,,,,50.011,,,,,,,,,,,,,
102.951,,,,,,19.972,,,,,,,,,,,
103.158,,,68.04,,,,,,,,,,,,,,
103.671,,,,,36.016,,,,,,,,,,,,
103.806,,,,52.106,,,,,,,,,,,,,
104.967,,,,,,,,,,0.433,,,,,,,
105.046,,,,,,,,4.003,,,,,,,,,
105.136,,,,,,21.885,,,,,,,,,,,
105.141,,,,,,,,,1.984,,,,,,,,
105.206,,,70.042,,,,,,,,,,,,,,
105.348,,,,,,,9.657,,,,,,,,,,
105.576,,,,,38.032,,,,,,,,,,,,
105.655,,,,54.066,,,,,,,,,,,,,
107.073,,,72.027,,,,,,,,,,,,,,
107.431,,,,,,23.985,,,,,,,,,,,
107.675,,,,56.014,,,,,,,,,,,,,
107.68,,,,,40.025,,,,,,,,,,,,
109.053,,,74.074,,,,,,,,,,,,,,
109.224,,,,,,,11.967,,,,,,,,,,
109.665,,,,57.996,,,,,,,,,,,,,
109.729,,,,,,25.951,,,,,,,,,,,
109.955,,,,,42.085,,,,,,,,,,,,
110.034,,,,,,,,,2.53,,,,,,,,
110.048,,,,,,,,,,0.946,,,,,,,
110.33,,,,,,,,5.843,,,,,,,,,
111.034,,,76.04,,,,,,,,,,,,,,
111.57,,,,60.046,,,,,,,,,,,,,
111.641,,,,,,27.953,,,,,,,,,,,
111.917,,,,,44.09,,,,,,,,,,,,
112.638,,,,,,,13.952,,,,,,,,,,
113.058,,,78.078,,,,,,,,,,,,,,
113.732,,,,62.005,,,,,,,,,,,,,
113.893,,,,,,29.946,,,,,,,,,,,
113.993,,,,,46.061,,,,,,,,,,,,
115.131,,,79.982,,,,,,,,,,,,,,
115.155,,,,,,,15.924,,,,,,,,,,
115.175,,,,,,,,,,1.405,,,,,,,
115.408,,,,,,,,,3.268,,,,,,,,
115.466,,,,64.021,,,,,,,,,,,,,
115.573,,,,,,,,7.968,,,,,,,,,
115.603,,,,,,,,,,,0.02,,,,,,
115.813,,,,,48.032,,,,,,,,,,,,
115.85,,,,,,31.949,,,,,,,,,,,
117.569,,,,66.071,,,,,,,,,,,,,
117.779,,,,,,,17.966,,,,,,,,,,
117.89,,,,,50.002,,,,,,,,,,,,
118.057,,,,,,33.977,,,,,,,,,,,
119.504,,,,67.996,,,,,,,,,,,,,
119.92,,,,,,,,10.022,,,,,,,,,
120.08,,,,,,,19.966,,,,,,,,,,
120.107,,,,,52.074,,,,,,,,,,,,
120.121,,,,,,,,,4.333,,,,,,,,
120.299,,,,,,,,,,2.079,,,,,,,
120.333,,,,,,35.827,,,,,,,,,,,
120.641,,,,,,,,,,,0.42,,,,,,
121.523,,,,70.023,,,,,,,,,,,,,
122.069,,,,,54.113,,,,,,,,,,,,
122.201,,,,,,,21.967,,,,,,,,,,
122.243,,,,,,38.008,,,,,,,,,,,
123.083,,,,,,,,11.993,,,,,,,,,
123.485,,,,72.017,,,,,,,,,,,,,
124.004,,,,,56.039,,,,,,,,,,,,
124.359,,,,,,,23.953,,,,,,,,,,
124.403,,,,,,40.055,,,,,,,,,,,
125.307,,,,,,,,,6.086,,,,,,,,
125.504,,,,74.021,,,,,,,,,,,,,
125.507,,,,,,,,,,,0.842,,,,,,
125.508,,,,,,,,,,3.021,,,,,,,
125.635,,,,,,,,14.007,,,,,,,,,
125.965,,,,,58.054,,,,,,,,,,,,
126.301,,,,,,,25.94,,,,,,,,,,
126.43,,,,,,42.013,,,,,,,,,,,
127.552,,,,76.015,,,,,,,,,,,,,
127.9,,,,,60.014,,,,,,,,,,,,
128.458,,,,,,,27.954,,,,,,,,,,
128.545,,,,,,44.015,,,,,,,,,,,
128.727,,,,,,,,15.964,,,,,,,,,
129.229,,,,78.008,,,,,,,,,,,,,
130.035,,,,,,,,,8.019,,,,,,,,
130.289,,,,,62.041,,,,,,,,,,,,
130.345,,,,,,46.035,,,,,,,,,,,
130.376,,,,,,,,,,4.089,,,,,,,
130.542,,,,,,,,,,,1.4,,,,,,
130.692,,,,,,,,,,,,0.043,,,,,
130.722,,,,,,,30.068,,,,,,,,,,
131.135,,,,79.979,,,,,,,,,,,,,
131.277,,,,,,,,18.077,,,,,,,,,
132.051,,,,,64.091,,,,,,,,,,,,
132.415,,,,,,48.028,,,,,,,,,,,
132.879,,,,,,,32.054,,,,,,,,,,
133.796,,,,,,,,19.949,,,,,,,,,
133.927,,,,,66.073,,,,,,,,,,,,
134.276,,,,,,,,,10.032,,,,,,,,
134.689,,,,,,50.066,,,,,,,,,,,
134.929,,,,,,,34.012,,,,,,,,,,
135.42,,,,,,,,,,5.487,,,,,,,
135.632,,,,,,,,,,,2.115,,,,,,
135.637,,,,,,,,,,,,0.529,,,,,
135.775,,,,,68.078,,,,,,,,,,,,
136.353,,,,,,52.051,,,,,,,,,,,
136.563,,,,,,,,21.963,,,,,,,,,
136.872,,,,,,,35.985,,,,,,,,,,
137.892,,,,,,,,,11.99,,,,,,,,
137.909,,,,,70.048,,,,,,,,,,,,
138.356,,,,,,54.026,,,,,,,,,,,
138.992,,,,,,,38.099,,,,,,,,,,
139.115,,,,,,,,24.006,,,,,,,,,
139.926,,,,,72.154,,,,,,,,,,,,
140.564,,,,,,55.956,,,,,,,,,,,
140.65,,,,,,,,,,,,1.069,,,,,
140.709,,,,,,,,,,7.092,,,,,,,
140.717,,,,,,,,,,,3.056,,,,,,
140.88,,,,,,,,,13.97,,,,,,,,
140.899,,,,,,,40.043,,,,,,,,,,
141.058,,,,,,,,25.935,,,,,,,,,
141.188,,,,,,,,,,,,,-0.006,,,,
141.72,,,,,74.024,,,,,,,,,,,,
142.203,,,,,,58.084,,,,,,,,,,,
143.199,,,,,,,42.114,,,,,,,,,,
143.394,,,,,,,,28.007,,,,,,,,,
143.938,,,,,76.051,,,,,,,,,,,,
143.954,,,,,,,,,15.94,,,,,,,,
144.388,,,,,,59.997,,,,,,,,,,,
145.249,,,,,,,44.072,,,,,,,,,,
145.344,,,,,,,,,,,4.178,,,,,,
145.391,,,,,,,,,,,,1.609,,,,,
145.455,,,,,,,,,,,,,0.436,,,,
145.586,,,,,,,,,,9.019,,,,,,,
145.729,,,,,77.999,,,,,,,,,,,,
145.91,,,,,,,,30.035,,,,,,,,,
146.187,,,,,,62.044,,,,,,,,,,,
146.485,,,,,,,,,18.034,,,,,,,,
146.976,,,,,,,46.073,,,,,,,,,,
147.692,,,,,80.004,,,,,,,,,,,,
147.889,,,,,,,,31.979,,,,,,,,,
148.392,,,,,,64.091,,,,,,,,,,,
148.989,,,,,,,48.073,,,,,,,,,,
149.131,,,,,,,,,20.038,,,,,,,,
149.782,,,,,,,,,,,,,,0.019,,,
150.118,,,,,,,,33.993,,,,,,,,,
150.486,,,,,,66.084,,,,,,,,,,,
150.513,,,,,,,,,,,,,0.949,,,,
150.561,,,,,,,,,,,,2.184,,,,,
150.615,,,,,,,,,,11.339,,,,,,,
150.622,,,,,,,,,,,5.558,,,,,,
151.111,,,,,,,50.102,,,,,,,,,,
151.179,,,,,,,,,21.986,,,,,,,,
152.06,,,,,,,,35.98,,,,,,,,,
152.083,,,,,,68.015,,,,,,,,,,,
153.089,,,,,,,52.075,,,,,,,,,,
153.854,,,,,,,,,23.99,,,,,,,,
154.129,,,,,,70.107,,,,,,,,,,,
154.43,,,,,,,,38.179,,,,,,,,,
154.982,,,,,,,,,,13.983,,,,,,,
155.138,,,,,,,54.104,,,,,,,,,,
155.501,,,,,,,,,,,,3.019,,,,,
155.528,,,,,,,,,,,,,1.345,,,,
155.701,,,,,,,,,,,,,,0.468,,,
155.753,,,,,,,,,,,7.198,,,,,,
156.066,,,,,,72.019,,,,,,,,,,,
156.1,,,,,,,,,26.016,,,,,,,,
156.302,,,,,,,,40.023,,,,,,,,,
156.83,,,,,,,56.005,,,,,,,,,,
158.138,,,,,,,,,,15.993,,,,,,,
158.182,,,,,,74.039,,,,,,,,,,,
158.376,,,,,,,,,28.032,,,,,,,,
158.458,,,,,,,,42.123,,,,,,,,,
159.166,,,,,,,58.048,,,,,,,,,,
160.162,,,,,,76.05,,,,,,,,,,,
160.438,,,,,,,,,,,,4.06,,,,,
160.541,,,,,,,,,,,8.951,,,,,,
160.586,,,,,,,,,,,,,1.903,,,,
160.599,,,,,,,,,,17.645,,,,,,,
160.627,,,,,,,,,,,,,,0.802,,,
160.651,,,,,,,,,30.025,,,,,,,,
160.652,,,,,,,,44.095,,,,,,,,,
160.75,,,,,,,60.035,,,,,,,,,,
160.819,,,,,,,,,,,,,,,0.086,,
162.187,,,,,,78.062,,,,,,,,,,,
163.062,,,,,,,,46.01,,,,,,,,,
163.213,,,,,,,,,31.961,,,,,,,,
163.23,,,,,,,62.021,,,,,,,,,,
163.852,,,,,,79.993,,,,,,,,,,,
164.587,,,,,,,,,,19.985,,,,,,,
