x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V,Ec=-28V,Ec=-30V
148.65,20.1444,12.7448,7.3774,3.7391,1.5789,0.482,,,,,,,,,,
149.08,20.2358,12.8092,7.4338,3.7759,1.5988,0.4943,,,,,,,,,,
149.522,20.343,12.8762,7.4922,3.8111,1.6198,0.5071,,,,,,,,,,
150.847,20.6591,13.084,7.6714,3.9108,1.6868,0.5456,,,,,,,,,,
151.863,20.8469,13.2508,7.813,3.9916,1.744,0.5748,,,,,,,,,,
151.975,20.8661,13.2696,7.8289,4.0009,1.7507,0.578,,,,,,,,,,
152.831,21.0089,13.415,7.9513,4.0758,1.8049,0.602,,,,,,,,,,
152.897,21.0198,13.4264,7.9609,4.0818,1.8092,0.6039,,,,,,,,,,
153.43,21.1076,13.5183,8.0383,4.1313,1.8453,0.6186,,,,,,,,,,
154.327,21.2585,13.6733,8.1694,4.2178,1.9091,0.6434,,,,,,,,,,
156.586,21.6752,14.0564,8.4923,4.4445,2.0765,0.7099,,,,,,,,,,
156.908,21.7377,14.1092,8.5369,4.4774,2.0998,0.7202,,,,,,,,,,
157.093,21.7736,14.139,8.5622,4.4962,2.1128,0.7262,,,,,,,,,,
157.162,21.7871,14.1502,8.5717,4.5033,2.1177,0.7285,,,,,,,,,,
157.766,21.9048,14.246,8.6536,4.5649,2.1587,0.7488,,,,,,,,,,
159.833,22.3131,14.5618,8.9214,4.7747,2.2865,0.8218,0.1684,,,,,,,,,
160.385,22.4311,14.6449,8.9888,4.83,2.3198,0.8417,0.1784,,,,,,,,,
160.562,22.4704,14.6715,9.0098,4.8476,2.3306,0.8481,0.1816,,,,,,,,,
160.577,22.4739,14.6738,9.0117,4.8491,2.3315,0.8487,0.1819,,,,,,,,,
161.086,22.5914,14.7507,9.0703,4.8994,2.3631,0.867,0.1912,,,,,,,,,
161.562,22.7047,14.8232,9.1225,4.9461,2.3937,0.8842,0.1998,,,,,,,,,
163.104,23.053,15.0658,9.2852,5.0949,2.4981,0.939,0.2274,,,,,,,,,
163.321,23.0954,15.1014,9.3093,5.1156,2.5132,0.9466,0.2312,,,,,,,,,
164.506,23.2994,15.3039,9.4513,5.2282,2.5963,0.9874,0.2518,,,,,,,,,
165.326,23.4316,15.4544,9.5591,5.3058,2.6537,1.0154,0.2657,,,,,,,,,
165.681,23.491,15.5216,9.6076,5.3394,2.6783,1.0274,0.2715,,,,,,,,,
167.117,23.7537,15.7993,9.8115,5.4774,2.7758,1.0765,0.2941,,,,,,,,,
167.338,23.796,15.8418,9.8436,5.4992,2.7904,1.0841,0.2973,,,,,,,,,
167.761,23.8772,15.9219,9.9053,5.5418,2.818,1.0988,0.3034,,,,,,,,,
168.332,23.9868,16.0267,9.9895,5.6019,2.855,1.119,0.3112,,,,,,,,,
168.475,24.0139,16.0521,10.0106,5.6175,2.8642,1.1241,0.313,,,,,,,,,
170.189,24.3326,16.3362,10.2672,5.8224,2.9744,1.1882,0.3353,,,,,,,,,
170.465,24.3833,16.3801,10.3087,5.8562,2.9924,1.1991,0.3392,,,,,,,,,
171.269,24.5327,16.5093,10.4303,5.953,3.0459,1.2324,0.3516,,,,,,,,,
171.767,24.6271,16.5922,10.5057,6.0121,3.08,1.254,0.3605,,,,,,,,,
172.534,24.7785,16.7262,10.6219,6.1026,3.1346,1.2889,0.3763,,,,,,,,,
173.185,24.9163,16.844,10.7202,6.1792,3.1835,1.3199,0.3919,,,,,,,,,
173.592,25.0089,16.9183,10.7816,6.2272,3.2155,1.3399,0.4027,,,,,,,,,
173.813,25.0616,16.9585,10.8147,6.2532,3.2333,1.3509,0.4089,,,,,,,,,
174.877,25.3173,17.149,10.973,6.379,3.3229,1.4055,0.4413,,,,,,,,,
175.184,25.3851,17.202,11.018,6.4154,3.3495,1.4215,0.4513,,,,,,,,,
175.248,25.3988,17.2129,11.0274,6.423,3.3551,1.4248,0.4534,,,,,,,,,
176.004,25.549,17.3393,11.1369,6.5129,3.4218,1.4646,0.4791,,,,,,,,,
176.567,25.6494,17.4308,11.217,6.5793,3.4715,1.4943,0.4987,,,,,,,,,
178.402,25.9575,17.726,11.4744,6.7888,3.6253,1.5934,0.565,,,,,,,,,
179.154,26.0911,17.8507,11.5784,6.8695,3.681,1.635,0.5924,,,,,,,,,
179.283,26.116,17.8725,11.5961,6.8829,3.6901,1.6422,0.5971,,,,,,,,,
179.441,26.1485,17.8997,11.6179,6.8992,3.7012,1.651,0.6029,,,,,,,,,
179.717,26.2142,17.9477,11.6557,6.9272,3.7202,1.6666,0.6129,,,,,,,,,
180.426,26.442,18.0748,11.7526,6.9969,3.7679,1.7067,0.6384,,,,,,,,,
180.822,26.5271,18.1477,11.8066,7.0348,3.7943,1.7292,0.6525,,,,,,,,,
181.62,26.6596,18.2962,11.9148,7.1099,3.8485,1.774,0.6801,,,,,,,,,
182.335,26.7696,18.4289,12.0124,7.1773,3.9004,1.8134,0.704,,,,,,,,,
182.975,26.8689,18.5453,12.1009,7.239,3.9523,1.8479,0.7246,,,,,,,,,
183.34,26.9273,18.6109,12.152,7.2752,3.9851,1.8671,0.736,,,,,,,,,
184.285,27.0931,18.7823,12.2883,7.3751,4.0805,1.9159,0.7646,,,,,,,,,
184.515,27.1393,18.8246,12.3224,7.4014,4.1052,1.9275,0.7713,,,,,,,,,
184.639,27.1657,18.8474,12.3409,7.4159,4.1186,1.9337,0.7749,,,,,,,,,
185.73,27.4708,19.054,12.5098,7.5585,4.236,1.9882,0.8055,,,,,,,,,
186.719,27.79,19.2473,12.6703,7.7068,4.3347,2.0369,0.8317,,,,,,,,,
187.042,27.8717,19.3111,12.7239,7.7572,4.3644,2.0526,0.84,,,,,,,,,
187.634,28.0032,19.4288,12.8239,7.8497,4.4164,2.0816,0.8549,,,,,,,,,
188.102,28.0979,19.5221,12.9041,7.9203,4.4556,2.1044,0.8664,,,,,,,,,
188.199,28.1168,19.5415,12.9208,7.9345,4.4636,2.1091,0.8688,,,,,,,,,
188.719,28.2161,19.6451,13.0108,8.0074,4.5059,2.1344,0.8814,,,,,,,,,
188.877,28.2459,19.6767,13.0383,8.0287,4.5187,2.1421,0.8852,0.1855,,,,,,,,
189.731,28.4066,19.8463,13.1868,8.1371,4.5869,2.184,0.9058,0.1998,,,,,,,,
190.512,28.5604,19.9998,13.3214,8.2287,4.6495,2.2229,0.9247,0.213,,,,,,,,
190.634,28.5849,20.0235,13.3422,8.2424,4.6594,2.2291,0.9277,0.215,,,,,,,,
191.841,28.8276,20.255,13.5476,8.3723,4.7594,2.2924,0.9582,0.2356,,,,,,,,
192.269,28.9084,20.3354,13.622,8.4162,4.7962,2.3161,0.9695,0.243,,,,,,,,
192.835,29.0075,20.4405,13.7233,8.4739,4.8463,2.3487,0.9849,0.2529,,,,,,,,
193.347,29.0949,20.5346,13.8189,8.5271,4.8933,2.3798,0.9991,0.2619,,,,,,,,
193.371,29.0989,20.5388,13.8233,8.5296,4.8954,2.3813,0.9998,0.2623,,,,,,,,
194.014,29.2137,20.6559,13.9484,8.5993,4.957,2.423,1.0181,0.2738,,,,,,,,
194.631,29.3351,20.7676,14.0692,8.67,5.0183,2.4663,1.0361,0.2851,,,,,,,,
194.804,29.3718,20.799,14.1026,8.6907,5.0359,2.479,1.0412,0.2883,,,,,,,,
196.209,29.699,21.0545,14.3443,8.8695,5.1834,2.5887,1.0836,0.3155,,,,,,,,
196.251,29.7091,21.0621,14.3503,8.8751,5.1879,2.5921,1.0849,0.3163,,,,,,,,
196.313,29.7241,21.0734,14.3589,8.8835,5.1946,2.5971,1.0868,0.3175,,,,,,,,
197.941,30.1086,21.3757,14.5354,9.1122,5.3731,2.7297,1.1379,0.3525,,,,,,,,
197.993,30.1203,21.3856,14.5408,9.1198,5.3789,2.7339,1.1395,0.3537,,,,,,,,
198.631,30.2563,21.5082,14.613,9.2122,5.4495,2.784,1.1601,0.3685,,,,,,,,
199.225,30.3757,21.6228,14.6946,9.2988,5.5148,2.829,1.1795,0.3828,,,,,,,,
199.361,30.4022,21.6487,14.7154,9.3186,5.5295,2.839,1.1839,0.3861,,,,,,,,
199.707,30.4693,21.7144,14.7717,9.3691,5.5669,2.8643,1.1954,0.3946,,,,,,,,
200.864,30.6922,21.9284,14.9783,9.5369,5.6863,2.9454,1.2345,0.4238,,,,,,,,
201.348,30.7879,22.0159,15.0679,9.6058,5.7333,2.9781,1.2513,0.4361,,,,,,,,
201.794,30.8784,22.096,15.1499,9.6681,5.775,3.0075,1.267,0.4474,,,,,,,,
202.3,30.9834,22.1867,15.2408,9.7367,5.8206,3.0403,1.2853,0.4602,,,,,,,,
203.178,31.1694,22.3441,15.3877,9.8471,5.8964,3.0956,1.318,0.4824,,,,,,,,
204.114,31.3696,22.5128,15.5215,9.952,5.9747,3.1525,1.3545,0.5061,,,,,,,,
204.271,31.4033,22.5415,15.5422,9.9688,5.9879,3.162,1.3609,0.5101,,,,,,,,
204.921,31.5406,22.6601,15.6233,10.0388,6.042,3.2002,1.3877,0.5266,,,,,,,,
206.193,31.7993,22.8979,15.7828,10.1909,6.1492,3.2745,1.4438,0.5593,,,,,,,,
206.198,31.8002,22.8988,15.7835,10.1915,6.1496,3.2748,1.444,0.5594,,,,,,,,
206.529,31.8658,22.9625,15.83,10.2349,6.1779,3.2943,1.4595,0.568,,,,,,,,
206.779,31.9152,23.0113,15.868,10.2686,6.1994,3.3093,1.4715,0.5745,,,,,,,,
207.802,32.1189,23.2168,16.0503,10.4107,6.2893,3.3723,1.5225,0.6016,,,,,,,,
208.36,32.232,23.3329,16.1622,10.4902,6.34,3.4085,1.5516,0.6167,,,,,,,,
209.246,32.4134,23.5215,16.343,10.6178,6.4251,3.4701,1.5992,0.6412,,,,,,,,
209.961,32.5605,23.6749,16.4803,10.7214,6.5012,3.5249,1.6384,0.6614,,,,,,,,
