x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V
108,42.681,19.086,3.362,0.098,,,,,,,
109,43.355,19.461,3.553,0.108,,,,,,,
110,44.006,19.845,3.755,0.115,,,,,,,
111,44.614,20.342,3.964,0.121,,,,,,,
112,45.19,20.875,4.172,0.135,,,,,,,
113,45.737,21.338,4.38,0.169,,,,,,,
114,46.25,21.774,4.598,0.21,,,,,,,
115,46.721,22.246,4.841,0.254,,,,,,,
116,47.19,22.736,5.113,0.298,,,,,,,
117,47.767,23.186,5.398,0.342,,,,,,,
118,48.531,23.561,5.678,0.383,,,,,,,
119,49.274,23.887,5.928,0.422,,,,,,,
120,49.605,24.211,6.16,0.458,,,,,,,
121,,24.589,6.479,0.494,,,,,,,
122,,25.061,6.973,0.53,,,,,,,
123,,25.726,7.485,0.569,,,,,,,
124,,26.407,7.876,0.614,,,,,,,
125,,26.995,8.168,0.667,,,,,,,
126,,27.496,8.428,0.727,,,,,,,
127,,27.915,8.699,0.794,,,,,,,
128,,28.317,8.996,0.863,,,,,,,
129,,28.747,9.32,0.934,,,,,,,
130,,29.313,9.681,1.006,,,,,,,
131,,30.086,10.069,1.082,,,,,,,
132,,30.631,10.424,1.164,,,,,,,
133,,31.106,10.746,1.256,,,,,,,
134,,31.545,11.111,1.364,,,,,,,
135,,31.949,11.527,1.483,,,,,,,
136,,32.367,11.935,1.602,,,,,,,
137,,32.941,12.294,1.711,,,,,,,
138,,33.599,12.613,1.806,,,,,,,
139,,34.148,12.937,1.899,-0.047,,,,,,
140,,34.653,13.319,1.996,-0.027,,,,,,
141,,35.165,13.787,2.103,-0.006,,,,,,
142,,35.706,14.274,2.226,0.014,,,,,,
143,,36.295,14.719,2.371,0.035,,,,,,
144,,36.901,15.121,2.537,0.057,,,,,,
145,,37.446,15.493,2.717,0.079,,,,,,
146,,37.915,15.842,2.905,0.104,,,,,,
147,,38.369,16.182,3.091,0.133,,,,,,
148,,38.874,16.534,3.268,0.167,,,,,,
149,,39.449,16.927,3.431,0.208,,,,,,
150,,40.052,17.398,3.584,0.256,,,,,,
151,,40.537,17.894,3.733,0.311,,,,,,
152,,40.985,18.326,3.882,0.369,,,,,,
153,,41.438,18.677,4.038,0.428,,,,,,
154,,41.952,18.994,4.208,0.484,,,,,,
155,,42.74,19.309,4.391,0.536,,,,,,
156,,43.522,19.679,4.582,0.581,,,,,,
157,,43.967,20.2,4.777,0.62,,,,,,
158,,44.388,20.728,4.972,0.655,,,,,,
159,,45.203,21.188,5.164,0.688,,,,,,
160,,45.825,21.615,5.357,0.722,,,,,,
161,,46.285,22.019,5.553,0.758,,,,,,
162,,46.903,22.414,5.756,0.799,,,,,,
163,,47.497,22.825,5.969,0.845,,,,,,
164,,47.947,23.286,6.197,0.896,,,,,,
165,,48.415,23.811,6.452,0.951,,,,,,
166,,48.942,24.325,6.742,1.01,,,,,,
167,,,24.761,7.066,1.072,,,,,,
168,,,25.142,7.401,1.137,,,,,,
169,,,25.518,7.691,1.207,,,,,,
170,,,25.934,7.974,1.283,,,,,,
171,,,26.415,8.328,1.367,0.018,,,,,
172,,,26.934,8.711,1.458,0.015,,,,,
173,,,27.446,9.054,1.554,0.017,,,,,
174,,,27.926,9.342,1.651,0.023,,,,,
175,,,28.385,9.606,1.749,0.034,,,,,
176,,,28.839,9.885,1.842,0.05,,,,,
177,,,29.315,10.216,1.929,0.068,,,,,
178,,,29.842,10.586,2,0.087,,,,,
179,,,30.406,10.956,2.06,0.107,,,,,
180,,,30.968,11.313,2.131,0.127,,,,,
181,,,31.493,11.656,2.245,0.147,,,,,
182,,,31.985,11.98,2.402,0.166,,,,,
183,,,32.473,12.278,2.576,0.186,,,,,
184,,,32.972,12.573,2.747,0.207,,,,,
185,,,33.488,12.9,2.906,0.233,,,,,
186,,,34.036,13.267,3.048,0.265,,,,,
187,,,34.668,13.658,3.169,0.305,,,,,
188,,,35.316,14.059,3.274,0.349,,,,,
189,,,35.783,14.461,3.371,0.395,,,,,
190,,,36.208,14.852,3.465,0.439,,,,,
191,,,36.673,15.222,3.561,0.48,,,,,
192,,,37.257,15.574,3.667,0.517,,,,,
193,,,37.893,15.926,3.8,0.548,,,,,
194,,,38.47,16.295,3.988,0.577,,,,,
195,,,39.009,16.68,4.235,0.604,,,,,
196,,,39.528,17.079,4.466,0.633,,,,,
197,,,40.046,17.491,4.626,0.665,,,,,
198,,,40.582,17.911,4.757,0.7,,,,,
199,,,41.16,18.333,4.883,0.741,,,,,
200,,,41.787,18.754,5.022,0.79,,,,,
201,,,42.489,19.169,5.186,0.844,,,,,
202,,,,19.576,5.376,0.904,,,,,
203,,,,19.982,5.586,0.968,,,,,
204,,,,20.397,5.805,1.034,,,,,
205,,,,20.832,6.024,1.1,-0.029,,,,
206,,,,21.3,6.242,1.162,-0.039,,,,
207,,,,21.793,6.462,1.22,-0.039,,,,
208,,,,22.288,6.693,1.273,-0.029,,,,
209,,,,22.746,6.956,1.325,-0.009,,,,
210,,,,23.18,7.272,1.38,0.018,,,,
211,,,,23.613,7.616,1.441,0.048,,,,
212,,,,24.058,7.952,1.508,0.079,,,,
213,,,,24.527,8.263,1.582,0.111,,,,
214,,,,25.04,8.556,1.665,0.141,,,,
215,,,,25.595,8.85,1.756,0.169,,,,
216,,,,26.15,9.168,1.854,0.194,,,,
217,,,,26.629,9.547,1.957,0.217,,,,
218,,,,27.086,9.96,2.062,0.239,,,,
219,,,,27.592,10.338,2.17,0.26,,,,
220,,,,28.092,10.677,2.277,0.283,,,,
221,,,,28.517,10.987,2.383,0.308,,,,
222,,,,28.941,11.277,2.488,0.336,,,,
223,,,,29.456,11.565,2.59,0.366,,,,
224,,,,30.006,11.872,2.689,0.399,,,,
225,,,,30.548,12.238,2.784,0.433,,,,
226,,,,31.071,12.724,2.878,0.469,,,,
227,,,,31.588,13.201,2.974,0.505,,,,
228,,,,32.129,13.589,3.075,0.543,,,,
229,,,,32.756,14.087,3.184,0.58,,,,
230,,,,33.399,14.534,3.303,0.618,,,,
231,,,,33.988,14.888,3.429,0.655,,,,
232,,,,34.451,15.206,3.56,0.691,,,,
233,,,,,15.512,3.695,0.726,-0.096,,,
234,,,,,15.824,3.831,0.76,-0.096,,,
235,,,,,16.2,3.967,0.794,-0.095,,,
236,,,,,16.582,4.105,0.83,-0.093,,,
237,,,,,16.96,4.25,0.869,-0.089,,,
238,,,,,17.349,4.406,0.911,-0.082,,,
239,,,,,17.758,4.587,0.956,-0.071,,,
240,,,,,18.178,4.804,1.002,-0.055,,,
241,,,,,18.586,5.051,1.05,-0.034,,,
242,,,,,18.966,5.295,1.098,-0.011,,,
243,,,,,19.331,5.515,1.148,0.011,,,
244,,,,,19.703,5.714,1.199,0.029,,,
245,,,,,20.124,5.901,1.253,0.041,,,
246,,,,,20.583,6.077,1.312,0.05,,,
247,,,,,20.978,6.246,1.377,0.058,,,
248,,,,,21.323,6.409,1.447,0.066,,,
249,,,,,21.669,6.568,1.522,0.077,,,
250,,,,,22.05,6.727,1.6,0.09,,,
251,,,,,22.493,6.889,1.678,0.107,,,
252,,,,,23.006,7.062,1.756,0.126,,,
253,,,,,23.581,7.25,1.832,0.148,,,
254,,,,,24.108,7.461,1.906,0.17,,,
255,,,,,24.502,7.706,1.978,0.194,,,
256,,,,,24.842,8.009,2.049,0.218,,,
257,,,,,25.245,8.392,2.119,0.242,,,
258,,,,,25.756,8.809,2.189,0.266,,,
259,,,,,26.16,9.204,2.26,0.289,,,
260,,,,,26.498,9.574,2.333,0.311,,,
261,,,,,26.933,9.919,2.41,0.336,,,
262,,,,,27.504,10.242,2.491,0.362,,,
263,,,,,28.039,10.561,2.577,0.392,,,
264,,,,,28.472,10.897,2.669,0.424,,,
265,,,,,28.868,11.286,2.766,0.458,,,
266,,,,,29.273,11.708,2.867,0.493,,,
267,,,,,29.708,12.087,2.973,0.529,,,
268,,,,,30.163,12.405,3.086,0.566,,,
269,,,,,30.62,12.702,3.205,0.604,,,
270,,,,,,13.011,3.333,0.643,-0.039,,
271,,,,,,13.383,3.47,0.683,-0.057,,
272,,,,,,13.861,3.618,0.726,-0.066,,
273,,,,,,14.315,3.774,0.77,-0.064,,
