Vp,Vg,Ia
180.0,5.0,5.827
121.0,6.0,0.014
122.0,6.0,0.029
123.0,6.0,0.042
124.0,6.0,0.053
125.0,6.0,0.061
126.0,6.0,0.067
127.0,6.0,0.069
128.0,6.0,0.069
129.0,6.0,0.066
130.0,6.0,0.063
131.0,6.0,0.058
132.0,6.0,0.053
133.0,6.0,0.048
134.0,6.0,0.044
135.0,6.0,0.04
136.0,6.0,0.039
137.0,6.0,0.041
138.0,6.0,0.048
139.0,6.0,0.059
140.0,6.0,0.073
141.0,6.0,0.091
142.0,6.0,0.111
143.0,6.0,0.13
144.0,6.0,0.148
145.0,6.0,0.164
146.0,6.0,0.178
147.0,6.0,0.191
148.0,6.0,0.203
149.0,6.0,0.215
150.0,6.0,0.226
151.0,6.0,0.237
152.0,6.0,0.249
153.0,6.0,0.261
154.0,6.0,0.273
155.0,6.0,0.288
156.0,6.0,0.304
157.0,6.0,0.323
158.0,6.0,0.345
159.0,6.0,0.37
160.0,6.0,0.4
161.0,6.0,0.433
162.0,6.0,0.466
163.0,6.0,0.501
164.0,6.0,0.534
165.0,6.0,0.567
166.0,6.0,0.6
167.0,6.0,0.632
168.0,6.0,0.666
169.0,6.0,0.701
170.0,6.0,0.737
171.0,6.0,0.777
172.0,6.0,0.82
173.0,6.0,0.867
174.0,6.0,0.919
175.0,6.0,0.976
176.0,6.0,1.037
177.0,6.0,1.101
178.0,6.0,1.169
179.0,6.0,1.239
