x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V
355,,,,,,,,,,,8.287,3.254,1.13,0.333
356,,,,,,,,,,,8.546,3.41,1.207,0.337
357,,,,,,,,,,,8.781,3.571,1.255,0.33
358,,,,,,,,,,,8.995,3.72,1.288,0.315
359,,,,,,,,,,,9.192,3.851,1.314,0.295
360,,,,,,,,,,,9.371,3.969,1.341,0.278
361,,,,,,,,,,,9.534,4.081,1.377,0.271
362,,,,,,,,,,,9.694,4.193,1.438,0.283
363,,,,,,,,,,,9.87,4.309,1.53,0.311
364,,,,,,,,,,,10.068,4.431,1.632,0.352
365,,,,,,,,,,,10.277,4.561,1.715,0.398
366,,,,,,,,,,,10.49,4.706,1.777,0.443
367,,,,,,,,,,,10.701,4.88,1.827,0.487
368,,,,,,,,,,,10.925,5.104,1.872,0.536
369,,,,,,,,,,,11.19,5.309,1.916,0.598
370,,,,,,,,,,,11.504,5.463,1.962,0.674
371,,,,,,,,,,,11.835,5.593,2.015,0.758
372,,,,,,,,,,,12.148,5.715,2.082,0.84
373,,,,,,,,,,,12.431,5.835,2.163,0.915
374,,,,,,,,,,,12.698,5.96,2.25,0.978
375,,,,,,,,,,,,6.097,2.323,1.029
376,,,,,,,,,,,,6.256,2.382,1.068
377,,,,,,,,,,,,6.433,2.434,1.095
378,,,,,,,,,,,,6.609,2.483,1.114
379,,,,,,,,,,,,6.773,2.533,1.132
380,,,,,,,,,,,,6.928,2.585,1.155
381,,,,,,,,,,,,7.082,2.641,1.186
382,,,,,,,,,,,,7.238,2.708,1.222
383,,,,,,,,,,,,7.402,2.804,1.262
384,,,,,,,,,,,,7.58,2.924,1.304
385,,,,,,,,,,,,7.795,3.049,1.346
386,,,,,,,,,,,,8.066,3.173,1.388
387,,,,,,,,,,,,8.345,3.291,1.43
388,,,,,,,,,,,,8.552,3.399,1.471
389,,,,,,,,,,,,8.721,3.495,1.511
390,,,,,,,,,,,,8.88,3.58,1.551
391,,,,,,,,,,,,9.051,3.656,1.592
392,,,,,,,,,,,,9.295,3.728,1.639
393,,,,,,,,,,,,9.577,3.802,1.694
394,,,,,,,,,,,,9.823,3.882,1.762
395,,,,,,,,,,,,10.055,3.97,1.838
396,,,,,,,,,,,,10.281,4.067,1.919
397,,,,,,,,,,,,,4.177,1.998
398,,,,,,,,,,,,,4.304,2.076
399,,,,,,,,,,,,,4.468,2.169
400,,,,,,,,,,,,,4.69,2.283
400.855,,,,,,,,,,,,,,2.389
